Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Unit,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023
"3","'008","Albania","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7001","January","Index","58.955214","60.712220","66.024302","65.987533","68.908283","68.407316","69.875629","72.836221","76.443126","79.468273","84.731982","88.425081","89.702075","93.688566","96.171463","98.323445","102.534855","108.497765","110.850419","115.668411","118.432232","119.827866","127.850253","144.903442"
"3","'008","Albania","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7002","February","Index","58.455644","59.599112","65.803768","66.797653","70.736006","68.854824","70.285403","73.650683","78.421107","80.631791","86.772561","92.777792","91.671007","96.143867","98.942540","103.680654","105.922553","110.075180","113.086463","117.332961","119.563738","123.423549","131.940976","149.696778"
"3","'008","Albania","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7003","March","Index","57.601773","59.849998","65.950770","67.166724","70.810866","68.854824","70.449544","73.301628","78.886514","81.795309","86.776760","92.096216","92.118939","97.304225","100.037821","104.715384","107.063333","110.621689","114.082424","116.417683","121.729402","125.453284","137.074538","152.172768"
"3","'008","Albania","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7004","April","Index","58.135066","60.532331","65.877258","67.943459","70.848304","68.569930","71.066250","72.719869","78.304755","81.562605","85.538405","90.743112","91.719682","96.952308","98.682711","103.846231","105.932732","109.120602","112.535492","115.551608","120.547107","126.005106","138.536634","151.827974"
"3","'008","Albania","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7005","May","Index","58.669612","60.676231","64.447989","66.908320","69.243069","67.434441","70.696004","71.207296","76.210423","80.050032","86.776760","88.368566","90.086296","94.494693","96.454988","100.077653","102.379991","106.224529","109.202612","112.583164","118.064356","122.432357","136.358862","150.061168"
"3","'008","Albania","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7006","June","Index","57.034315","60.137055","63.172168","65.399945","67.906420","66.909481","69.384995","70.043778","74.232442","78.653810","81.448944","86.083055","88.423393","93.191856","95.177766","97.778994","100.408689","105.524457","108.858621","111.765892","116.300692","119.464677","134.492247","148.278358"
"3","'008","Albania","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7007","July","Index","54.989398","59.169648","62.591114","65.070019","67.758315","65.703455","68.977046","69.112964","73.068924","77.141237","80.354673","84.648292","88.089978","91.652552","94.054696","96.284803","100.462895","105.157841","108.266534","111.308135","114.749132","119.466058","135.251286",
"3","'008","Albania","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7008","August","Index","55.305459","58.384365","62.699957","65.216600","67.573300","65.903933","68.773384","72.138110","74.232442","78.304755","81.702175","85.249093","88.816611","91.311302","94.218968","98.176376","102.801403","106.198745","109.166679","111.789951","115.212529","120.466049","137.321750",
"3","'008","Albania","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7009","September","Index","56.538970","59.241170","63.499613","65.840510","67.610293","66.788537","69.425836","73.650683","75.745016","79.584625","83.001900","85.721831","89.301624","92.753705","94.703827","99.385925","103.094152","106.680132","109.496398","112.202484","116.414055","121.748411","138.799746",
"3","'008","Albania","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7010","October","Index","57.530762","58.883780","63.536023","66.024302","67.832357","67.191975","69.507542","73.301628","76.326775","79.933680","83.293560","86.558407","89.494645","92.663062","94.144253","99.335850","102.411345","106.529300","108.417856","111.670775","117.115419","121.626286","139.336089",
"3","'008","Albania","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7011","November","Index","58.170664","60.388517","63.426810","66.355456","68.314134","67.434441","70.449544","73.534332","76.443126","80.631791","83.540701","86.504625","89.447704","91.357219","93.300835","98.763849","101.880937","105.693229","107.808107","111.246556","115.577530","121.395277","139.231385",
